bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species
48.685575144109805,16.887979286758167,199.24398964337908,3343.299223253431,Chinstrap
46.65951583212867,17.864913721178176,194.8920422190098,3298.6505277376223,Chinstrap
46.00345113766662,17.30345113766662,190.14478179733408,3650.0,Chinstrap
49.96193016723433,17.505111545163487,197.46023277588557,3672.301163879428,Chinstrap
49.15569312998632,18.836886137400274,200.0491090079781,4118.443068700137,Chinstrap
50.59976408381243,18.548584867791625,200.5896226070833,3939.7405651770823,Chinstrap
49.16133950035233,18.6068564420735,191.5342822103675,3700.0,Chinstrap
49.17695378459783,17.669238446149457,190.57690388462635,3400.0,Chinstrap
48.397138528941156,17.665712842980387,188.97007077527545,3250.0,Chinstrap
47.16620466461433,18.034291585357654,194.36670091458632,3800.0,Chinstrap
50.35592338441841,18.41673563457845,199.33471269156902,4436.122605763076,Chinstrap
51.01230894497634,18.461544724881712,196.5615447248817,3682.0193090610214,Chinstrap
50.06109445370968,17.890273613427418,190.02431596643146,3400.0,Chinstrap
50.14074529885919,14.892547011408166,221.555282068449,5700.0,Gentoo
51.8190462035929,16.719046203592896,229.00839836562199,5550.0,Gentoo
45.02032732876355,15.406254562696478,219.92181796629404,5050.0,Gentoo
45.269360592282545,14.711700740353185,217.11700740353186,5000.0,Gentoo
45.602559240912214,14.284094785459544,209.21023696364887,4200.0,Gentoo
48.27502280185149,14.969581079548862,214.41302365056393,5400.0,Gentoo
42.93660753905922,13.126751663158661,215.07039911357543,5000.0,Gentoo
49.94497766241813,15.521041836320075,224.21041836320074,5200.0,Gentoo
48.03504770395297,14.71546321890054,213.1546321890054,4732.216451181283,Gentoo
45.31740374322177,14.2,219.2098244594688,4700.0,Gentoo
50.28774796721531,16.827151969737216,226.42383989912403,5619.702001260949,Gentoo
50.95997166917537,16.218930966364685,220.07369912148664,6022.109736445996,Gentoo
48.541723240803115,14.395323107650583,210.95323107650583,4616.276925637549,Gentoo
46.41260081114055,14.917008064891244,221.08504032445623,5304.252016222811,Gentoo
49.24506558224266,15.93504243556878,222.6503472001082,5650.0,Gentoo
45.924725337069106,13.989890134827641,215.34835202241462,4388.763733146545,Gentoo
47.43285167382685,14.885507860211506,215.61835953403835,4750.0,Gentoo
47.01672699120694,14.88875452434052,217.14590873900866,4850.0,Gentoo
48.043553887518954,14.602609503196328,214.67536501065442,4750.0,Gentoo
48.26324284044048,16.067038821691252,226.99553413970497,5950.0,Gentoo
49.46868712402004,15.818259557541545,217.46076460332364,5350.0,Gentoo
43.85494435859801,13.81758346210298,208.0,4313.736089649503,Gentoo
54.82943088029454,16.60712960190661,224.387565741523,6021.937828707615,Gentoo
49.691463437376896,16.176585374950758,226.29756124852273,5669.14634373769,Gentoo
50.12163798982685,16.283027257233464,230.0282879046109,5698.585604769455,Gentoo
48.27913105941287,16.02804488367895,219.24456912133041,5400.0,Gentoo
46.118292580155924,15.326940185980284,216.39135239417564,5300.0,Gentoo
53.731287465456056,15.929204524075313,226.9321960432636,5850.0,Gentoo
47.658735405223,15.26225652220122,215.23179503171602,4931.401708069033,Gentoo
49.056607025353806,16.067653128369255,216.32346871630745,5550.0,Gentoo
47.723861756591525,15.389337110314212,210.73602266188527,5500.0,Gentoo
46.9665344924871,14.5334655075129,220.89109179188168,4875.0,Gentoo
44.48327015205235,13.951469201492616,208.87867300373154,4371.966825093288,Gentoo
53.97037246692178,16.04034384046708,229.7982807976646,5839.9140398832305,Gentoo
45.575251055575336,16.3791527191347,222.89576359567351,5955.211820216324,Gentoo
44.81970382145431,16.513055334773167,216.90148089272844,5276.231488840895,Gentoo
46.24243152764015,15.218362214011808,217.81637785988192,4989.081889299409,Gentoo
48.982377346924416,15.76506769506874,221.25964477783515,5650.0,Gentoo
47.99593878222296,14.302467981915887,204.53264599846463,4628.483286360147,Gentoo
48.99015997233898,15.467067806844508,213.79116524144436,5400.0,Gentoo
48.614143017828496,15.231872873041338,220.53984109130167,5123.007945434916,Gentoo
45.28428571462868,15.440612244946955,220.20306122473477,5039.846938763261,Gentoo
50.76283606629209,16.305714642944203,220.17143928832607,5997.142678527899,Gentoo
44.42260942707637,14.2,219.59886546648855,4700.0,Gentoo
47.17147314731265,14.377913973215882,212.08435479911913,4415.260753348015,Gentoo
48.10554386875035,14.303204673674061,219.40233919507628,5300.0,Gentoo
45.83808135667959,15.225387571119724,220.3756459518662,5000.0,Gentoo
53.53314146506012,15.970436631416229,229.7043663141623,5879.563368583771,Gentoo
50.84769196376238,15.21098851966054,223.7384598188119,5550.0,Gentoo
46.382613828193165,14.363039628855127,209.45653457048292,4822.826728524145,Gentoo
50.01986284190942,16.0,230.0,5810.922021860842,Gentoo
46.29136890095369,14.541650994787036,212.0,4739.587251303241,Gentoo
45.911990420594904,15.61324841427019,215.3501592232434,5300.0,Gentoo
48.77565497899473,15.032434502100527,221.8374446008998,5500.0,Gentoo
45.29012084076939,14.612208795470067,211.36626386410202,4806.104397735034,Gentoo
44.765553242884536,13.771259567615395,209.28740432384606,4300.0,Gentoo
45.17389954541014,13.862731376618301,210.0,4195.3414220772875,Gentoo
53.27671392912294,15.619014850861511,225.3737517604612,5850.0,Gentoo
49.02137171119404,16.335230987945863,221.05692963837592,5982.384506027068,Gentoo
46.10135298018782,13.200468339295783,210.99947962300467,4499.973981150234,Gentoo
46.32822034026934,15.765376058598495,219.4743114366583,5914.7431143665835,Gentoo
49.500996893763464,16.230478125815804,221.39043748368394,6000.0,Gentoo
44.73775712308553,14.26948180559988,215.0,5000.0,Gentoo
47.754543071000704,14.813635767750176,220.39773174187368,4861.647764515614,Gentoo
46.18792507160254,14.212136022912814,212.0,4737.120749283975,Gentoo
45.85378198355487,13.961512793421946,214.9226919013292,4392.310900822256,Gentoo
56.690346794975966,16.784470132961182,227.84470132961184,6036.529383310074,Gentoo
49.64882510444956,16.19530041779822,226.22062761123888,5700.0,Gentoo
46.66829104217293,14.332683583130828,216.15854478913533,4895.792723945677,Gentoo
45.284393485444994,15.487505687829229,218.90617890213466,5050.0,Gentoo
52.17888960968324,15.876759199193064,227.90671401412138,5650.0,Gentoo
45.34805595922189,14.498081914470978,212.38465531576784,4850.0,Gentoo
48.68169829190515,14.106489224710899,219.87021550578203,5300.0,Gentoo
45.35078308278687,13.825391541393435,208.5078308278687,4200.0,Gentoo
50.52718675601298,15.07406281885158,222.2593718114842,5550.0,Gentoo
46.609695037286265,14.25704341827183,212.60739145432044,4632.592393179006,Gentoo
50.42877294100755,15.472637646045335,223.4245411798489,5550.0,Gentoo
43.89633914903262,13.57038261400932,208.1480869299534,4357.40434649767,Gentoo
49.3040671269119,15.701355708970635,217.00677854485318,5850.338927242658,Gentoo
47.99311607287696,14.786575188579771,216.59897087152243,4850.0,Gentoo
45.05790692049877,14.376614955832654,209.97661495583264,4400.0,Gentoo
